City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.9167,42.91,93,75,2.3,CL,1655106641
leningradskiy,69.3833,178.4167,33.84,87,96,11.1,RU,1655106641
atuona,-9.8,-139.0333,77.9,64,76,20.78,PF,1655106642
mugur-aksy,50.35,90.5,73.6,30,96,3.22,RU,1655106642
upernavik,72.7868,-56.1549,28.53,96,100,5.48,GL,1655106642
souillac,-20.5167,57.5167,75.58,69,75,18.41,MU,1655106642
rikitea,-23.1203,-134.9692,73.09,66,62,12.33,PF,1655106643
sao filipe,14.8961,-24.4956,72.79,81,21,6.17,CV,1655106643
busselton,-33.65,115.3333,61.52,71,90,14.18,AU,1655106643
praya,14.9215,-23.5087,73.94,78,75,13.8,CV,1655106643
ponta do sol,32.6667,-17.1,70.0,75,46,1.48,PT,1655106644
malm,64.0721,11.2172,53.38,85,100,4.83,NO,1655106644
mahebourg,-20.4081,57.7,77.25,69,75,18.41,MU,1655106644
port elizabeth,-33.918,25.5701,66.31,62,0,3.44,ZA,1655106416
balakovo,52.0278,47.8007,66.74,56,0,6.13,RU,1655106645
tuktoyaktuk,69.4541,-133.0374,32.47,89,100,6.91,CA,1655106645
gewane,10.1664,40.6453,99.5,22,63,15.43,ET,1655106645
abu dhabi,24.4667,54.3667,102.31,56,0,9.22,AE,1655106373
sun valley,39.5963,-119.776,57.13,65,0,5.99,US,1655106646
saint-francois,46.4154,3.9054,71.67,64,100,5.75,FR,1655106646
zhangye,38.9342,100.4517,87.24,5,0,2.75,CN,1655106646
bluff,-46.6,168.3333,45.81,63,80,27.36,NZ,1655106647
new norfolk,-42.7826,147.0587,46.71,83,23,3.44,AU,1655106647
tura,25.5198,90.2201,80.42,89,100,6.31,IN,1655106647
coquimbo,-29.9533,-71.3436,49.73,93,100,2.3,CL,1655106648
port alfred,-33.5906,26.891,74.17,40,100,4.0,ZA,1655106648
lorengau,-2.0226,147.2712,82.6,74,77,11.65,PG,1655106648
albany,42.6001,-73.9662,65.17,93,100,2.53,US,1655106649
ushuaia,-54.8,-68.3,35.26,100,40,2.3,AR,1655106649
cherskiy,68.75,161.3,69.31,28,74,8.19,RU,1655106649
